No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
2,AA,Alcoa Corporation,Basic Materials,Aluminum,USA,8.89B,-,48.93,2.04%,"4,294,468"
3,AAAU,Goldman Sachs Physical Gold ETF,Financial,Exchange Traded Fund,USA,-,-,18.40,0.11%,"2,583,640"
4,AAC,Ares Acquisition Corporation,Financial,Shell Companies,USA,1.27B,47.53,10.22,0.20%,"802,659"
5,AACG,ATA Creativity Global,Consumer Defensive,Education & Training Services,China,54.75M,-,1.78,0.59%,"8,262"
6,AACI,Armada Acquisition Corp. I,Financial,Shell Companies,USA,207.53M,-,10.05,-0.15%,"32,463"
7,AACIW,Armada Acquisition Corp. I,Financial,Shell Companies,USA,-,-,0.10,-2.82%,"39,725"
8,AADI,"Aadi Bioscience, Inc.",Healthcare,Biotechnology,USA,284.74M,-,11.82,-0.67%,"103,105"
9,AADR,AdvisorShares Dorsey Wright ADR ETF,Financial,Exchange Traded Fund,USA,-,-,49.67,-0.22%,"1,091"
10,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,85.66M,45.61,3.01,0.00%,"97,537"
11,AAL,American Airlines Group Inc.,Industrials,Airlines,USA,11.18B,508.79,16.79,1.70%,"17,435,378"
12,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,48.68M,18.97,2.39,-1.24%,"1,955"
13,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,464.20M,29.44,14.84,0.20%,"171,852"
14,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,76.41M,-,2.70,2.27%,"165,741"
15,AAON,"AAON, Inc.",Industrials,Building Products & Equipment,USA,4.21B,62.30,78.25,0.58%,"201,144"
16,AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,USA,8.94B,19.39,150.76,-0.94%,"954,397"
17,AAPD,Direxion Daily AAPL Bear 1X Shares,Financial,Exchange Traded Fund,USA,-,-,25.61,0.55%,"128,768"
18,AAPL,Apple Inc.,Technology,Consumer Electronics,USA,2421.68B,26.03,153.20,-0.42%,"60,318,993"
19,AAPU,Direxion Daily AAPL Bull 1.5X Shares,Financial,Exchange Traded Fund,USA,-,-,21.12,-0.80%,"80,615"
20,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,USA,1.60B,38.21,26.40,-0.34%,"268,894"
22,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,2.90B,8.26,102.21,0.01%,"193,079"
23,AAXJ,iShares MSCI All Country Asia ex Japan ETF,Financial,Exchange Traded Fund,USA,-,-,69.53,-0.30%,"455,978"
24,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,4.24B,12.26,41.53,2.82%,"490,675"
25,ABB,ABB Ltd,Industrials,Specialty Industrial Machinery,Switzerland,66.89B,25.57,33.81,-0.73%,"2,021,574"
26,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,USA,263.91B,20.33,152.59,-0.74%,"4,627,622"
27,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution,USA,31.03B,19.11,157.36,-0.79%,"1,100,381"
28,ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,3.36B,9.71,48.48,-0.72%,"225,133"
29,ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,Canada,2.84B,12.48,9.97,2.05%,"1,420,309"
30,ABCM,Abcam plc,Healthcare,Biotechnology,United Kingdom,3.52B,420.28,15.13,-0.26%,"345,990"
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,41.71M,-,2.40,-2.04%,"82,312"
32,ABEQ,Absolute Select Value ETF,Financial,Exchange Traded Fund,USA,-,-,28.56,-0.28%,"10,335"
33,ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,Brazil,39.55B,15.96,2.49,-0.80%,"28,392,996"
34,ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,USA,5.16B,5.22,233.19,0.41%,"186,247"
35,ABGI,ABG Acquisition Corp. I,Financial,Shell Companies,USA,196.39M,-,10.16,0.00%,564
36,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,30.10M,-,2.07,2.48%,"30,550"
37,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,USA,3.09B,14.29,48.73,0.29%,"245,854"
38,ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,USA,80.80B,50.43,120.87,3.82%,"16,008,622"
39,ABOS,"Acumen Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,228.59M,-,5.47,-0.73%,"129,714"
40,ABR,"Arbor Realty Trust, Inc.",Real Estate,REIT - Mortgage,USA,2.52B,9.05,14.89,-0.73%,"1,310,509"
42,ABST,Absolute Software Corporation,Technology,Software - Application,Canada,835.62M,-,11.40,0.00%,"52,675"
43,ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,186.86B,27.33,107.26,-1.16%,"4,237,896"
44,ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,USA,436.64M,-,2.71,1.12%,"812,607"
45,ABVC,"ABVC BioPharma, Inc.",Healthcare,Biotechnology,USA,20.87M,-,0.71,2.05%,"9,389"
46,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,830.99M,-,36.90,0.24%,"2,965"
47,ACA,"Arcosa, Inc.",Industrials,Infrastructure Operations,USA,2.83B,28.35,58.32,0.00%,"85,934"
48,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,3.12B,-,19.10,-0.42%,"681,624"
49,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,379.83M,-,0.93,1.45%,"5,095,658"
50,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,USA,879.49M,-,12.01,7.71%,"425,561"
51,ACCO,ACCO Brands Corporation,Industrials,Business Equipment & Supplies,USA,551.93M,29.15,5.80,-8.52%,"970,088"
52,ACDC,ProFrac Holding Corp.,Energy,Oil & Gas Equipment & Services,USA,3.15B,53.56,21.69,2.17%,"288,790"
53,ACEL,"Accel Entertainment, Inc.",Consumer Cyclical,Gambling,USA,804.66M,12.79,9.35,-0.64%,"150,828"
54,ACER,Acer Therapeutics Inc.,Healthcare,Biotechnology,USA,34.90M,-,2.12,-1.85%,"86,602"
55,ACES,ALPS Clean Energy ETF,Financial,Exchange Traded Fund,USA,-,-,50.94,0.95%,"28,291"
56,ACET,"Adicet Bio, Inc.",Healthcare,Biotechnology,USA,324.58M,-,7.63,-8.18%,"558,484"
57,ACGL,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,24.47B,21.23,66.28,1.58%,"4,623,190"
58,ACGLN,Arch Capital Group Ltd.,Financial,Insurance - Diversified,Bermuda,24.14B,4.23,19.83,0.25%,"78,286"
59,ACGN,"Aceragen, Inc.",Healthcare,Biotechnology,USA,42.75M,-,4.92,-0.61%,"6,002"
60,ACHC,"Acadia Healthcare Company, Inc.",Healthcare,Medical Care Facilities,USA,7.26B,26.19,80.89,-0.26%,"363,423"
62,ACHR,Archer Aviation Inc.,Industrials,Aerospace & Defense,USA,675.97M,-,2.81,6.04%,"5,382,310"
63,ACHV,"Achieve Life Sciences, Inc.",Healthcare,Biotechnology,Canada,101.85M,-,5.80,3.94%,"114,327"
64,ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,USA,11.23B,8.61,21.15,-0.61%,"2,601,270"
65,ACIO,Aptus Collared Income Opportunity ETF,Financial,Exchange Traded Fund,USA,-,-,30.11,-0.33%,"31,998"
66,ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,202.89M,-,2.31,-3.35%,"53,380"
67,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,USA,3.00B,19.47,26.83,-1.47%,"434,184"
68,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,4.22B,23.34,127.47,-0.67%,"751,648"
69,ACLX,"Arcellx, Inc.",Healthcare,Biotechnology,USA,1.33B,-,30.15,-0.76%,"370,259"
70,ACM,AECOM,Industrials,Engineering & Construction,USA,12.70B,35.96,91.11,0.95%,"1,172,105"
71,ACMR,"ACM Research, Inc.",Technology,Semiconductor Equipment & Materials,USA,835.21M,21.53,13.89,5.55%,"910,825"
72,ACN,Accenture plc,Technology,Information Technology Services,Ireland,188.28B,25.86,284.77,-1.24%,"1,610,839"
73,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,315.55M,9.06,37.61,-2.03%,"2,980"
